Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,BreedPure,ColorAmt,LengthOfDescription,Sentiment,AdoptionSpeed
1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0,3,0,2,204.0,0.48,4
1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,0,5,0,3,1878.0,0.9,2
1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,0,1,0,2,148.0,0.92,0
1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,1,3,0,1,770.0,0.98,4
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,3,0,1,122.0,0.68,3
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,5,0,1,12.0,0.0,1
1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,0,1,0,2,221.0,-0.34,3
1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,0,1,0,2,218.0,0.83,4
1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,0,2,1,2,246.0,0.91,1
1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,0,1,0,2,234.0,0.96,2
1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,3,0,1,93.0,0.92,3
2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,0,4,1,2,126.0,0.45,3
1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,0,3,0,2,118.0,0.86,2
2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,0,2,0,2,137.0,0.34,4
1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,0,4,0,2,303.0,0.9,2
1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,3,11,0,1,1584.0,1.0,3
1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,4,18,0,2,1308.0,0.98,3
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,0,5,0,1,643.0,0.98,3
2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,0,3,1,3,994.0,0.99,4
1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,41326,0,0,0,2,165.0,0.33,4
2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,0,12,1,1,672.0,0.18,3
2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,0,1,1,2,27.0,-0.3,4
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,0,2,0,2,220.0,0.57,3
2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,0,3,1,2,0.0,0.0,1
1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,0,3,0,1,193.0,0.95,3
1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,0,3,0,2,89.0,0.6,3
2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,0,1,1,2,22.0,0.0,1
2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,0,1,1,2,210.0,0.69,2
1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,0,2,0,3,448.0,0.99,2
1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,0,3,1,1,242.0,0.73,4
1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,1,0,3,12.0,0.0,3
2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,41326,0,7,1,2,625.0,0.96,1
2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,0,2,1,1,33.0,0.0,2
2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,0,3,1,2,309.0,0.48,0
1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,0,2,0,2,120.0,0.91,3
2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,0,2,1,2,140.0,0.94,1
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,4,0,1,165.0,0.83,4
1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,0,5,0,3,559.0,0.91,3
2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,0,1,1,3,40.0,0.0,4
2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,41401,0,5,0,2,1856.0,1.0,2
1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,41401,0,3,0,3,884.0,0.92,4
1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,0,4,0,1,188.0,0.92,4
2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,41326,0,2,1,3,432.0,0.99,4
1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,41326,0,4,1,3,701.0,0.95,1
2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,0,3,1,3,70.0,0.88,4
2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,0,0,1,1,96.0,0.92,4
2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,0,4,1,3,342.0,0.0,1
1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,41326,0,3,0,3,318.0,0.94,1
1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,41326,0,4,1,2,1482.0,1.0,2
1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,0,1,1,3,1146.0,0.99,2
2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,0,3,1,3,286.0,-0.72,3
1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,0,4,0,3,565.0,0.68,1
2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,1,1,1,2,171.0,0.9,2
1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,41401,0,6,0,2,92.0,0.95,3
1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,41401,0,3,0,2,461.0,0.86,3
1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,3,0,1,255.0,0.93,1
1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,0,1,0,1,39.0,0.74,4
1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,0,5,0,1,678.0,0.99,4
2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,0,3,1,2,213.0,0.0,1
2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,0,3,1,2,151.0,0.53,2
2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,0,8,0,2,214.0,0.99,2
2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,0,2,0,2,102.0,0.8,4
1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,0,5,0,3,1063.0,0.99,4
1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,0,4,0,2,223.0,0.94,2
2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,0,1,1,1,384.0,0.97,3
1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,10,0,3,286.0,0.54,3
1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,41326,0,3,0,2,146.0,0.93,2
2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,41326,0,7,0,3,16.0,0.0,2
2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,41401,0,5,1,1,1127.0,0.98,3
2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,41401,0,4,1,2,1109.0,0.98,2
1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,0,2,1,2,108.0,0.84,3
2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,41401,0,5,0,3,956.0,0.99,2
1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,41326,0,1,0,1,71.0,0.34,1
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,2,0,1,507.0,0.96,2
2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,41326,0,3,1,3,430.0,0.96,3
2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,41401,0,2,1,3,286.0,0.96,2
1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,0,2,0,2,94.0,0.9,2
1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,41332,0,2,0,2,70.0,0.78,3
2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,41326,0,2,1,2,330.0,0.89,3
2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,41326,0,2,0,2,153.0,0.86,1
2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41401,1,3,1,2,426.0,0.98,2
1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,41326,0,11,0,3,202.0,0.46,4
1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,41401,0,4,1,2,284.0,-0.15,3
1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,41326,1,1,0,2,521.0,0.94,4
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,41327,0,1,0,2,255.0,-0.3,4
1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,41330,0,1,1,1,353.0,0.98,2
2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,41401,0,13,1,3,2140.0,0.99,2
2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,41401,0,3,1,2,393.0,0.95,1
1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,41401,0,5,0,2,149.0,0.7,1
1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,0,4,0,1,352.0,-0.59,1
1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,41326,0,3,0,3,422.0,0.97,3
1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,41326,0,5,0,1,149.0,0.93,4
2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,41326,0,0,1,3,659.0,0.97,4
1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,41327,0,1,0,3,256.0,-0.13,4
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41326,0,4,0,2,209.0,0.69,3
1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,41401,0,2,0,3,786.0,0.99,2
2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,41326,0,3,1,2,58.0,0.51,2
2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,41401,0,1,0,2,262.0,0.97,0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,41326,0,9,0,2,208.0,0.96,2
2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,41401,0,3,1,1,354.0,0.94,4
1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,41401,0,1,0,1,707.0,0.98,4
1,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,41401,0,5,0,3,169.0,0.69,3
2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,41326,0,4,1,3,707.0,0.98,2
2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,0,1,1,2,251.0,0.87,2
2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,41326,0,4,0,2,287.0,0.76,2
1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,41326,0,3,0,2,322.0,0.91,2
1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,41326,0,2,0,1,608.0,0.78,4
1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41326,0,3,0,2,91.0,0.89,3
2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,10,1,2,1671.0,0.97,4
2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,41325,0,4,0,3,24.0,0.75,4
1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,41327,0,2,0,2,131.0,0.54,4
2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,41401,0,2,1,2,160.0,0.51,4
1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,41401,0,0,1,3,77.0,0.22,3
1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,41326,0,3,0,1,1439.0,0.99,4
1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,1,0,1,88.0,0.82,3
2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,41336,0,1,1,2,130.0,0.76,4
1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,41326,0,5,0,1,474.0,0.86,2
1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,41326,1,1,0,2,367.0,0.89,4
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41401,0,4,0,2,26.0,0.36,1
1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,41326,0,2,0,2,325.0,0.97,4
1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,24,0,2,490.0,0.94,4
1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,41326,0,3,0,1,163.0,0.92,1
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41332,0,1,0,1,82.0,0.49,2
1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,41326,0,9,0,1,704.0,0.79,2
2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,41401,0,4,1,2,649.0,0.99,4
1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,41401,0,3,0,2,248.0,0.98,1
2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,41326,0,5,1,3,926.0,0.99,2
2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,41327,0,6,1,1,271.0,0.95,4
1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,41326,0,8,0,1,165.0,0.59,1
2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,41326,0,5,1,2,589.0,0.59,4
1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,3,0,2,316.0,0.92,3
1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41326,0,1,0,2,8.0,0.0,4
2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,41401,0,9,1,2,1315.0,1.0,2
1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,41326,0,1,0,2,249.0,0.91,4
2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,41401,0,8,1,1,296.0,0.61,3
1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,41326,0,5,0,3,777.0,0.89,1
1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,41326,0,2,0,3,517.0,0.97,3
2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,41401,0,8,1,3,11.0,0.0,1
1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,41326,0,5,0,3,1027.0,0.99,3
2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,41326,0,6,1,3,712.0,0.99,4
2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,41401,0,2,1,3,627.0,0.5,4
2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,41326,0,5,0,3,729.0,0.91,1
2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,41326,0,1,0,2,112.0,0.72,1
1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,41326,1,8,0,2,344.0,0.71,3
2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,41326,0,5,1,2,8.0,0.49,4
1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,41326,0,2,0,2,119.0,0.88,2
1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,41326,0,4,0,1,400.0,0.96,1
1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,41327,0,5,0,3,683.0,0.97,1
2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,41326,0,3,1,2,154.0,0.89,1
1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,41326,0,3,0,1,568.0,0.25,4
2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,41326,0,5,1,3,204.0,0.85,4
1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,41326,0,5,0,3,552.0,0.89,4
2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,41326,0,3,0,2,200.0,0.72,2
1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,41401,0,6,0,1,62.0,0.46,1
1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,41326,0,1,0,3,503.0,0.98,3
2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,41326,0,7,1,2,276.0,-0.74,2
1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,41326,0,0,0,2,10.0,0.6,4
1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,41326,0,5,0,1,871.0,0.97,3
2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,41401,0,2,1,2,181.0,0.96,2
1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,41401,0,1,0,2,132.0,0.32,4
2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,41326,0,0,1,3,448.0,0.95,4
1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1,0,1,200.0,0.91,3
1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,41330,0,3,0,1,37.0,0.61,1
1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,41326,0,1,0,3,17.0,0.0,1
2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,41401,0,5,1,2,103.0,0.92,1
1,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,41326,0,3,1,2,460.0,0.97,1
1,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,41326,0,3,1,1,12.0,0.0,1
1,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,41326,0,2,0,3,207.0,0.86,1
1,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,41326,0,2,0,1,79.0,0.82,2
2,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,41326,0,5,0,3,644.0,0.97,2
2,4,265,0,2,5,0,0,2,2,3,3,3,1,1,0,41401,1,4,1,1,198.0,0.97,2
2,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,41326,0,3,0,2,570.0,0.95,1
2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,41327,0,1,1,2,74.0,0.8,3
1,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,41326,0,8,1,1,256.0,0.71,1
1,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,41326,0,12,0,2,288.0,0.92,3
2,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,41401,0,4,1,2,125.0,0.0,1
1,2,128,307,2,2,7,0,2,1,1,1,2,1,1,0,41326,1,9,0,2,335.0,0.98,2
1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1,0,1,35.0,0.36,3
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,1,4,0,2,202.0,-0.36,4
1,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,4,0,2,12.0,0.0,2
2,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,41326,0,3,1,2,286.0,0.96,1
2,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,41326,0,2,1,1,99.0,0.83,2
2,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,41326,0,4,1,3,43.0,0.71,3
2,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,41401,0,3,1,3,869.0,0.99,2
2,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,41336,0,4,0,1,336.0,0.96,2
